common names,formulae
capnp,capnp
vale,vale
minio-mc,minio-mc
docker-credential-helper,docker-credential-helper
packer,hashicorp/tap/packer
ldns,ldns
tailscale,tailscale
trivy,aquasecurity/trivy/trivy
zed,authzed/tap/zed
mtr,mtr
speedtest-cli,speedtest-cli
shivammathur/php,shivammathur/php/php@7.1
dive,dive
lazygit,jesseduffield/lazygit/lazygit
cdk8s,cdk8s
sbcl,sbcl
licenseplist,licenseplist
v8,v8
testbottest,homebrew/test-bot/testbottest
docker-credential-helper-ecr,docker-credential-helper-ecr
vte3,vte3
dasel,dasel
flyway,flyway
wireguard-tools,wireguard-tools
cgal,cgal
dpkg,dpkg
go-task,go-task
cython,cython
ideviceinstaller,ideviceinstaller
clamav,clamav
cosign,cosign
libsndfile,libsndfile
docker-completion,docker-completion
zellij,zellij
ssh-copy-id,ssh-copy-id
nasm,nasm
cookiecutter,cookiecutter
zabbix,zabbix
ruby,ruby@3.1
golang-migrate,golang-migrate
clojure,clojure
pygments,pygments
transmission-cli,transmission-cli
qmk,qmk/qmk/qmk
flac,flac
pscale,planetscale/tap/pscale
gtk,gtk+
clojure,clojure/tools/clojure
giflib,giflib
xchtmlreport,xctesthtmlreport/xchtmlreport/xchtmlreport
gimme-aws-creds,gimme-aws-creds
freerdp,freerdp
openslide,openslide
imlib2,imlib2
vercel,vercel-cli
dbus,dbus
commitizen,commitizen
lsd,lsd
tox,tox
qscintilla2,qscintilla2
ceres,ceres-solver
unar,unar
btop,btop
fontforge,fontforge
ktlint,ktlint
opencv,opencv@3
julia,julia
infracost,infracost
brotli,brotli
hunspell,hunspell
bear,bear
zig,zig
mono,mono
cppcheck,cppcheck
telegraf,telegraf
cmatrix,cmatrix
opam,opam
texinfo,texinfo
arpoison,arpoison
pylint,pylint
thefuck,thefuck
texlive,texlive
msodbcsql18,microsoft/mssql-release/msodbcsql18
caddy,caddy
cadence,cadence-workflow
sundials,sundials
exploitdb,exploitdb
moreutils,moreutils
libressl,libressl
hasura,hasura-cli
enchant,enchant
serverless,serverless
unzip,unzip
rename,rename
libunistring,libunistring
zbar,zbar
kube-linter,kube-linter
xcodes,xcodesorg/made/xcodes
fx,fx
gspell,gspell
gping,gping
aws-vault,aws-vault
lynx,lynx
mongodb,mongodb/brew/mongodb-community@4.4
pcre2,pcre2
prometheus,prometheus
trufflehog,trufflesecurity/trufflehog/trufflehog
libdap,libdap
libraqm,libraqm
groff,groff
kubelogin,int128/kubelogin/kubelogin
emacs-mac,railwaycat/emacsmacport/emacs-mac
git-crypt,git-crypt
jpeg-turbo,jpeg-turbo
rtx,rtx
gitui,gitui
libspatialite,libspatialite
esphome,esphome
bzip2,bzip2
webpack,webpack
php@5.6,shivammathur/php/php@5.6
hashcat,hashcat
grype,anchore/grype/grype
cassandra,cassandra
lazydocker,lazydocker
game-porting-toolkit,apple/apple/game-porting-toolkit
msodbcsql17,microsoft/mssql-release/msodbcsql17
dust,dust
lefthook,lefthook
goreleaser,goreleaser
hadolint,hadolint
lokalise2,lokalise/cli-2/lokalise2
less,less
emacs-plus@29,d12frosted/emacs-plus/emacs-plus@29
kdoctor,kdoctor
buildpulse-test-reporter,buildpulse-test-reporter
fftw,fftw
dependency-check,dependency-check
ethereum,ethereum
flex,flex
asciinema,asciinema
mysql-client@5.7,mysql-client@5.7
highlight,highlight
wrk,wrk
luarocks,luarocks
pdm,pdm
vapoursynth,vapoursynth
gcc,gcc@11
mssql,microsoft/mssql-release/mssql-tools
sox,sox
tfswitch,warrensbox/tap/tfswitch
minio,minio/stable/minio
qcachegrind,qcachegrind
screen,screen
dart,dart-lang/dart/dart@2.16
libxcb,libxcb
libgeotiff,libgeotiff
fribidi,fribidi
bind,bind
glow,glow
operator-sdk,operator-sdk
arduino-cli,arduino-cli
git-filter-repo,git-filter-repo
protoc-gen-go,protoc-gen-go
iperf,iperf
aircrack-ng,aircrack-ng
krew,krew
mutt,mutt
psutils,psutils
magic-wormhole,magic-wormhole
libproxy,libproxy
solidity,solidity
difftastic,difftastic
gedit,gedit
kompose,kompose
mssql,microsoft/mssql-release/mssql-tools18
corepack,corepack
samba,samba
fmt,fmt
geckodriver,geckodriver
kubeval,kubeval
libusbmuxd,libusbmuxd
podman-compose,podman-compose
liquibase,liquibase
